antecedents,consequents,support,confidence,lift
coordinated & large_trade & senior_insider,opportunistic,0.03716121821737916,0.6751269035532995,2.303411999825795
coordinated & large_trade & sell_transaction & senior_insider,opportunistic,0.03660240290583962,0.6717948717948717,2.292043704627117
coordinated & large_dollar & large_trade & senior_insider,opportunistic,0.032411288069293095,0.6480446927374302,2.211012350149917
coordinated & large_dollar & large_trade & sell_transaction & senior_insider,opportunistic,0.03185247275775356,0.6440677966101694,2.197443893296279
large_trade & late_filing,opportunistic,0.049175747415479185,0.6285714285714287,2.1445730627808803
large_trade & senior_insider,opportunistic,0.07655769768091646,0.5867237687366167,2.001796347291088
large_trade & late_filing & sell_transaction,opportunistic,0.038558256496227995,0.575,1.961796949475691
large_trade & sell_transaction & senior_insider,opportunistic,0.07152835987706063,0.5739910313901345,1.9583545294044724
large_dollar & large_trade & late_filing,opportunistic,0.03213188041352333,0.5665024630541872,1.9328048763307302
large_dollar & large_trade & senior_insider,opportunistic,0.06370494551550712,0.562962962962963,1.9207287363626735
large_dollar & large_trade & sell_transaction & senior_insider,opportunistic,0.06174909192511875,0.5580808080808081,1.9040716988762747
large_dollar & large_trade,opportunistic,0.1271304833752445,0.5278422273781903,1.800903080826066
large_trade,opportunistic,0.16512992455993294,0.5225464190981433,1.782834732080319
large_dollar & late_filing,opportunistic,0.04526404023470243,0.5159235668789809,1.7602387472448737
large_dollar & large_trade & sell_transaction,opportunistic,0.11623358480022353,0.5079365079365079,1.732988333560307
